"gene","rho","p","padj"
"AC006033.2",0.394420710200285,0.105294978665795,0.245432482892212
"AC006042.2",0.244922537785661,0.327309843688235,0.51208986038299
"AC006059.1",0.314900405724421,0.203097275387943,0.379103442875603
"AC006064.2",0.381697461484147,0.118050351268215,0.265881464708932
"AC006064.4",0.36261258840994,0.139175344457912,0.296233137103471
"AC006115.2",-0.197210355100143,0.432819772267149,0.607387350621748
"AC006116.8",-0.57890781658429,0.011825599479125,0.0596059512129053
"AC006141.1",0.00318081217903456,0.990005838297366,0.9918064855049
"AC006145.1",-0.505749136466495,0.032252333777345,0.111377834634443
"AC006160.1",0.712501928103741,0.000906465443623875,0.0135043600913733
"AC006213.2",-0.219476040353385,0.381547140675057,0.562756490065881
"AC006213.3",-0.248103349964696,0.32086571602578,0.505477578698276
"AC006230.1",0.458036953780977,0.0559371439534196,0.160843623470469
"AC006270.1",0.165402233309797,0.511885358434621,0.674071906787096
"AC006288.1",-0.381697461484147,0.118050351268215,0.265881464708932
"AC006299.1",-0.155859796772693,0.536853795247363,0.694407952117415
"AC006329.1",-0.11132842626621,0.660089809005101,0.785649509169397
"AC006333.2",0.0318081217903456,0.900291538682441,0.942748253091155
"AC006355.2",-0.442132892885804,0.0661869259213799,0.180674635750969
"AC006369.1",0.0127232487161382,0.960037505464503,0.976084894419096
"AC006387.1",0.410324771095458,0.0907777271361468,0.222886521964172
"AC006441.1",0.709321115924707,0.000978846233493016,0.0140852989578614
"AC006449.6",0.139955735877521,0.579652823569591,0.727096143633694
"AC006460.1",0.629800811448843,0.00509300998070578,0.0359264656376431
"AC006460.2",0.483483451213253,0.0420786529648235,0.132968543368842
"AC006480.2",-0.435771268527735,0.0706551434074342,0.188867732357241
"AC006504.5",-0.604354314016566,0.00789473085313483,0.0464799934937087
"AC006511.6",0.117690050624279,0.641865467758828,0.771787663585581
"AC006525.1",-0.114509238445244,0.650954097285076,0.778138943517348
"AC006547.1",0.423048019811596,0.0802551310356555,0.205127480446766
"AC006581.1",0.0381697461484147,0.880473872651068,0.930695475281093
"AC006581.2",-0.133594111519451,0.59716613585191,0.740167977735187
"AC006942.1",-0.273549847396972,0.27204135028264,0.455484922296248
"AC006974.2",0.343527715335732,0.162792364365824,0.329254364852093
"AC006994.2",-0.120870862803313,0.632825011384589,0.766214028866399
"AC007001.1",0.267188223038903,0.283790816044155,0.468199358627136
